RouteName,State,CentroidLat,CentroidLng,LengthMiles,AgencyTags
Lower Susquehanna Scenic Byway,Maryland,39.603916,-76.141682,27.1,STATE
Lunar Crater Back Country Byway,Nevada,38.195583,-116.614355,76.3,BLM
Markaguant High Plateau Scenic Byway (U-14),Utah,37.565549,-112.794260,40.5,"USFS, STATE"
Mason and Dixon Byway,Maryland,39.683939,-76.198900,53.5,STATE
Maumee Valley Scenic Byway,Ohio,41.488687,-83.785491,43.4,STATE
McKenzie Pass-Santiam Pass Scenic Byway,Oregon,44.305356,-121.847575,84.2,"USFS, NSB, STATE"
Medicine Wheel Passage,Wyoming,44.777870,-107.772454,29.5,"USFS, STATE"
Meeting of the Great Rivers Scenic Route,Illinois,38.931790,-90.327577,35.3,"NSB, STATE"
Meriwether-Pike Scenic Byway,Georgia,32.980832,-84.581290,60.5,STATE
Merritt Parkway,Connecticut / New York,41.157041,-73.402563,37.5,NSB
Mesa Falls Scenic Byway,Idaho,44.187733,-111.396831,48.9,"USFS, STATE"
Mesalands Scenic Byway,New Mexico,34.980201,-104.114089,378.6,STATE
Meteor Lakes Byway,North Carolina,34.882716,-78.542496,39.5,STATE
Miami & Erie Canal Scenic Byway,Ohio,40.484723,-84.348818,52.7,STATE
Midland Trail,West Virginia,38.052184,-80.979766,115.6,"NSB, STATE"
Midway-Versailles Road (US-62),Kentucky,38.106679,-84.710283,8.4,STATE
Military Trail,New York,44.938592,-74.139264,88.7,STATE
Millbridge Scenic Byway,North Carolina,35.670169,-80.606784,13.6,STATE
Millen-Jenkins County Scenic Byway,Georgia,32.863269,-82.007706,40.2,STATE
Millstone Valley Scenic Byway,New Jersey,40.441536,-74.607452,22.0,STATE
Mingus Mountain Scenic Road,Arizona,34.656397,-112.276413,34.1,STATE
Minnesota River Valley Scenic Byway,Minnesota,44.770354,-95.242398,233.9,"NSB, STATE"
Mirror Lake Scenic Byway - UT Section,Utah / Wyoming,40.712231,-110.978558,54.5,"USFS, STATE"
Mirror Lake Scenic Byway - Wyoming,Wyoming,41.133914,-110.881906,23.2,STATE
Mission Crossing,North Carolina,36.186084,-81.852267,17.5,STATE
Mississippi Delta Great River Road,Mississippi,33.384548,-90.926042,184.8,STATE
Missouri Breaks Back Country Byway,Montana,47.634187,-109.076323,54.5,BLM
Modoc Volcanic Scenic Byway,California,41.552589,-121.722488,90.8,USFS
Mohawk Towpath Byway,New York,42.812711,-73.791861,26.8,"NSB, STATE"
Monroe Street (M125),Michigan,41.919633,-83.399766,6.9,STATE
Monticello Crossroads Scenic Byway,Georgia,33.369737,-83.679172,29.6,STATE
